Item #,Designator,Qty,Manufacturer,Mfg Part #,Description / Value,Package/Footprint,Type,Your Instructions / Notes
1,"C1,C2",2,Murata,GRM32ER71H475KA88L,4.7uF 50V,1210,SMD,
2,C3,1,Samsung Electro-Mechanics,CL10B104KB8NNNC,100nF 50V,0603,SMD,
3,C4,1,Samsung Electro-Mechanics,CL10B104KB8NNNC,100nF 25V,0603,SMD,
4,C5,1,Samsung Electro-Mechanics,CL10B273KB8NNNC,27nF,0603,SMD,
5,C6,1,Samsung Electro-Mechanics,CL10C151JB8NNNC,150pF,0603,SMD,
6,"C7,C8",2,Murata,GRM32ER71A226KE20L,22uF 10V,1210,SMD,
7,C9,1,Samsung Electro-Mechanics,CL21A106KPFNNNE,10uF 10V,0805,SMD,
8,C10,1,Samsung Electro-Mechanics,CL10B104KB8NNNC,100nF,0603,SMD,
9,C11,1,Samsung Electro-Mechanics,CL10B105KO8NNNC,1uF,0603,SMD,
10,"C101,C201,C301,C401,C501,C601,C701,C801",8,Samsung Electro-Mechanics,CL21B104KBCNNNC,100nF 50V,0805,SMD,CVS
11,"C102,C202,C302,C402,C502,C602,C702,C802",8,Samsung Electro-Mechanics,CL21B103KBANNNC,10nF 50V,0805,SMD,COUT
12,"C103,C203,C303,C403,C503,C603,C703,C803",8,Samsung Electro-Mechanics,CL10C221JB8NNNC,220pF 50V,0603,SMD,CSENSE
13,"D1,D2,D4",3,Diodes Incorporated,B360-13-F,SS36,SMA,SMD,"12V -> VIN,USB -> VIN,catch diode"
14,D3,1,Littelfuse,SMBJ26A,SMBJ26A,SMB,SMD,bus TVS
15,D5,1,Wurth Elektronik,150060BS75000,BLUE,LED_0603,SMD,status LED IO41
16,"D101,D201,D301,D401,D501,D601,D701,D801",8,Nexperia,"BAT54S,215",BAT54S,SOT-23,SMD,ADC clamp
17,"D102,D202,D302,D402,D502,D602,D702,D802",8,Wurth Elektronik,150060GS75000,GREEN,LED_0603,SMD,load ON indicator
18,"F1,F2,F3,F4,F5,F6,F7,F8",8,Keystone Electronics,3557,ATO 15A,Fuseholder_ATO_3pos_Keystone_3557,Through-hole,3 clips per position; AUTO: fuse in COM-SW; BYPASS: fuse in COM-LOAD
19,F9,1,Littelfuse,0466002.NR,2A 1206,1206,SMD,logic supply fuse
20,"H1,H2,H3,H4",4,,,M3,MountingHole_3.2mm_M3,Through-hole,
21,J1,1,Wurth Elektronik,691311400116,Wuerth 691311400116,TerminalBlock_1x16_P7.62mm_Wuerth_3114,Through-hole,"odd pins = GND, even pins = LOAD+"
22,J2,1,Keystone Electronics,8196,+12V IN,ScrewTerminal_Keystone_8196_10-32,Through-hole,
23,J3,1,Keystone Electronics,8196,GND IN,ScrewTerminal_Keystone_8196_10-32,Through-hole,
24,J4,1,GCT,USB4105-GF-A,USB-C,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,SMD,
25,J5,1,Wurth Elektronik,61300411121,UART,PinHeader_1x04_P2.54mm_Vertical,Through-hole,GND 3V3 TX RX
26,L1,1,Bourns,SRP7028A-100M,10uH 4A,L_Bourns_SRP7028A_7.3x6.6mm,SMD,
27,R1,1,YAGEO,RC0603FR-07200KL,200k 1%,0603,SMD,fsw 500 kHz
28,R2,1,YAGEO,RC0603FR-0731K6L,31.6k 1%,0603,SMD,
29,R3,1,YAGEO,RC0603FR-0710K2L,10.2k 1%,0603,SMD,
30,R4,1,YAGEO,RC0603FR-073K9L,3.9k,0603,SMD,
31,"R5,R6",2,YAGEO,RC0603FR-0710KL,10k,0603,SMD,
32,"R7,R8",2,YAGEO,RC0603FR-075K1L,5.1k,0603,SMD,
33,R9,1,YAGEO,RC0603FR-071KL,1k,0603,SMD,
34,"R101,R102,R105,R201,R202,R205,R301,R302,R305,R401,R402,R405,R501,R502,R505,R601,R602,R605,R701,R702,R705,R801,R802,R805",24,YAGEO,RC0603FR-074K7L,4.7k,0603,SMD,"RADC,RDEN,RIN"
35,"R103,R203,R303,R403,R503,R603,R703,R803",8,YAGEO,RC0805FR-0747RL,47R,0805,SMD,RGND (ReverseON)
36,"R104,R204,R304,R404,R504,R604,R704,R804",8,YAGEO,RC0603FR-071K2L,1.2k 1%,0603,SMD,RSENSE
37,"R106,R206,R306,R406,R506,R606,R706,R806",8,YAGEO,RC0603FR-0747KL,47k,0603,SMD,RPD
38,"R107,R207,R307,R407,R507,R607,R707,R807",8,YAGEO,RC0603FR-072K2L,2.2k,0603,SMD,RLED
39,SW1,1,C&K,PTS645SM43SMTR92,RESET,SW_SPST_PTS645Sx43SMTR92,SMD,
40,SW2,1,C&K,PTS645SM43SMTR92,BOOT,SW_SPST_PTS645Sx43SMTR92,SMD,
41,"U1,U2,U3,U4,U5,U6,U7,U8",8,Infineon,BTS70081EPRXUMA1,BTS7008-1EPP,Infineon_PG-TSDSO-14-22,SMD,
42,U9,1,Texas Instruments,TPS54360BDDAR,TPS54360B,TI_SO-PowerPAD-8_ThermalVias,SMD,
43,U10,1,Espressif,ESP32-S3-WROOM-1-N8,ESP32-S3-WROOM-1-N8,ESP32-S3-WROOM-1,SMD,
44,U11,1,STMicroelectronics,USBLC6-2SC6,USBLC6-2SC6,SOT-23-6,SMD,
